54514,3019,رحیم آباد,158582,6
54515,3019,علی آباد,158620,6
54516,3019,علی بیک,158623,6
54517,3019,فتح آباد,158628,6
54518,3019,کال میشی,158634,6
54519,3019,کلاته جمعه,158641,6
54520,3019,کلاته خان / عزت آباد,158644,6
54521,3019,کلاته شیرخان,158646,6
54522,3019,کلاته قلی,158652,6
54523,3019,گرماب میدانک,158660,6
54524,3019,محمد آباد,158671,6
54525,3019,محمد آباد کلاته,158673,6
54526,3019,معدن تکنار,158678,6
54527,3019,کارخانه آسفالت شهرداری برداسکن,542706,6
54528,3019,چاه موتور شماره 1 دشت محمد خان / فاطمیه,542921,6
54529,3019,چاه موتور شماره 2 دشت محمدخان / اسلامیه,542922,6
54530,3019,چاه موتور شماره 3 دشت محمدخان / صادقیه,542923,6
54531,3019,چاه موتور شماره 4 دشت محمدخان / جوادیه,542924,6
54532,3019,چاه موتور شماره 5 دشت محمدخان,542925,6
54533,3019,چاه موتور شماره 6 دشت محمدخان / انصاریه,542926,6
54534,3019,چاه موتور شماره 7 دشت محمدخان,542927,6
54535,3019,چاه موتور شماره 8 دشت محمدخان,542928,6
54536,3019,چاه موتور شماره 9 دشت محمدخان,542929,6
54537,3019,چاه موتور شماره 11 دشت محمدخان,542930,6
54538,3019,چاه موتور شماره 12 دشت محمدخان,542931,6
54539,3019,چاه موتور شماره 13 دشت محمدخان / شرکت حمز,542944,6
54540,3019,چاه موتور شماره 14 دشت محمدخان /گل کویر,542945,6
54541,3019,چاه موتور شماره 15 دشت محمدخان / هدف,542946,6
54542,3020,آبنو,158055,6
54543,3020,سعادت آباد,158176,6
54544,3020,سیف آباد,158182,6
54545,3020,شفیع آباد,158187,6
54546,3020,علی آباد,158208,6
54547,3020,کال علی رضا,158222,6
54548,3020,کشمر,158225,6
54549,3020,کلاته فساد,158233,6
54550,3020,کلاته فولاد,158234,6
54551,3020,قاسم آباد کلاته مصطفی خان / مصطفویه,158236,6
54552,3020,کلاته میمی,158237,6
54553,3020,کلاته نو,158239,6
54554,3020,کلاته نو,158240,6
54555,3020,هادی آباد,158287,6
54556,3020,بخشعلی,158969,6
54557,3020,بوژ دارو,158970,6
54558,3020,کلاته شیخ علی,159011,6
54559,3020,شرکت مدرس,159111,6
54560,3020,مزرعه فلاحت,396814,6
54561,3020,شهرک صنعتی بردسکن,542394,6
54562,3021,حاتم آباد,158130,6
54563,3021,آب میانی,158528,6
54564,3021,احمد آباد,158529,6
54565,3021,احمد آباد,158530,6
54566,3021,احمد آباد میر ابراهیم,158532,6
54567,3021,ارواخ,158533,6
54568,3021,افتخاری,158534,6
54569,3021,آق مهدی,158535,6
54570,3021,آقا خواجه,158536,6
54571,3021,آقا میر / کلاته عناب,158537,6
54572,3021,آهو بم,158539,6
54573,3021,بسرود,158542,6
54574,3021,بسک,158543,6
54575,3021,بیجورد,158545,6
54576,3021,بیجورد سفلی,158546,6
54577,3021,پشت النگ,158547,6
